what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280409498
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280479026
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429280479030
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280490630
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280554163
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429280554170
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429280556834
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280561378
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280629089
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429280629094
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280633605
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280636446
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429280639035
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281024188
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429281024197
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281027330
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281408007
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429281411033
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1429281411504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281443457
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281501317
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281501511
stopped,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1429281501725
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1429281501767
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1429281501817
