what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.MemoryView",1429194531712
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.RegisterView",1429194531715
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.ModuleView",1429194531718
activated,perspective,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.CPerspective",1429194531734
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429194531740
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1429194531781
executed,command,,,"org.eclipse.cdt.ui.CPerspective",1429194531781
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429194543032
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429194545344
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429194545388
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429194567956
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429194568109
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429194568139
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429194726033
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429194727216
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194737649
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1429194737659
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194752274
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194755230
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194778651
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194817664
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194818788
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194820121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194878908
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429194881899
