what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430494996603
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495006740
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495024386
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495052187
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1430495055092
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1430495059337
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495061944
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495062911
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495066093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495466085
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1430495483994
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430495483994
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495485813
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495863939
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1430495867800
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495869144
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495870133
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430495888115
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496538842
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496541017
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496615677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496617840
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496618968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496622124
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430496674535
