what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492368685
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492704057
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492709977
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492740905
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492741473
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492785987
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492786507
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492801796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492801801
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492803800
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492804066
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492808212
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492808884
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492816341
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492817468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492821844
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492822316
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492844053
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492844059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492845992
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492848354
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492849326
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430492861966
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430493414875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430493417786
