what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491055441
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491057822
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491081694
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491082310
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491093663
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491094134
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491369099
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1430491371110
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1430491372556
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491372579
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491374880
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1430491376530
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491376698
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491376727
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491379423
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491399042
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491399049
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491400455
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491402256
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491402782
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1430491403702
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491403702
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491405397
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430491405423
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430491407738
