what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1429287630685
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1429287630685
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429287630685
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429287630685
java.vm.specification.version,sysinfo,,,"1.0",1429287630685
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1429287630685
java.vm.version,sysinfo,,,"11.0-b16",1429287630685
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1429287630780
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1429287630854
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1429287630946
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1429287631134
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1429287631165
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1429287631212
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1429287631361
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1429287631392
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1429287631429
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1429287631537
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1429287632123
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1429287634726
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1429287635598
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1429287636367
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429287636390
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429287636526
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1429287646037
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287657885
