what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287662550
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429287665677
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1429287666128
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287668831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287670106
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429287676058
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429287677325
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429287705397
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429287705428
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1429287719215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287809391
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287889784
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287908472
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287919993
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287920812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287921336
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287925985
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429287932026
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1429287933688
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1429287934543
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1429287937015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1429287937409
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1429287938648
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1429287939922
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1429287940073
