what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429288831120
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429288833302
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429288834451
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429288842213
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289214444
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429289214453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1429289221686
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429289222531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289223783
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1429289223793
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289226423
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289242978
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1429289242989
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1429289243641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289252615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289256194
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1429289256198
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289398468
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429289407143
stopped,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1429289407302
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1429289407319
