what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429281532990
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429281532990
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1429281533068
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1429281533095
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429281533413
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1429281533432
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429281976722
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1429281977972
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1429281978104
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1429281978128
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281980666
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429281982325
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282017445
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282060358
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282066245
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282961246
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282962219
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282963296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282965065
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429282965114
stopped,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1429282965188
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1429282965188
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1429282965189
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1429282965190
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1429282965190
